Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Corynebacterium striatum	CE91-St29	ENA, NCBI	ENADB, NCBIPathogenDBB	43770.0	C. striatum	GCA_022835015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/835/015/GCA_022835015.1_ASM2283501v1	Pathogenic	GCF_022835015.1	PRJNA224116	SAMD00389872	BQNM00000000.1	na	43770	43770	Corynebacterium striatum	strain=CE91-St29		latest	Contig	Major	Full	2022/02/03	ASM2283501v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022835015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/835/015/GCF_022835015.1_ASM2283501v1			na	Corynebacterium striatum	NZ_BQNM01000001.1	Corynebacterium striatum strain CE91-St29 sequence1, whole genome shotgun sequence	GCF_022835015.1_ASM2283501v1_genomic.fna.gz 	GCF_022835015.1	818	3	GCF_022/GCF_022835015.1_ASM2283501v1_genomic.h5	2554
Bacteroides uniformis	CE91-St11	ENA	ENADB	820.0	B. uniformis	GCA_022835075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/835/075/GCA_022835075.1_ASM2283507v1	Pathogenic	GCF_022835075.1	PRJNA224116	SAMD00389878	BQNP00000000.1	na	820	820	Bacteroides uniformis	strain=CE91-St11		latest	Contig	Major	Full	2022/02/03	ASM2283507v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022835075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/835/075/GCF_022835075.1_ASM2283507v1			na	Bacteroides uniformis	NZ_BQNP01000001.1	Bacteroides uniformis strain CE91-St11 sequence1, whole genome shotgun sequence	GCF_022835075.1_ASM2283507v1_genomic.fna.gz 	GCF_022835075.1	576	3	GCF_022/GCF_022835075.1_ASM2283507v1_genomic.h5	3918
Bacteroides uniformis	CE91-St13	ENA	ENADB	820.0	B. uniformis	GCA_022835115.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/835/115/GCA_022835115.1_ASM2283511v1	Pathogenic	GCF_022835115.1	PRJNA224116	SAMD00389880	BQNR00000000.1	na	820	820	Bacteroides uniformis	strain=CE91-St13		latest	Contig	Major	Full	2022/02/03	ASM2283511v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022835115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/835/115/GCF_022835115.1_ASM2283511v1			na	Bacteroides uniformis	NZ_BQNR01000001.1	Bacteroides uniformis strain CE91-St13 sequence1, whole genome shotgun sequence	GCF_022835115.1_ASM2283511v1_genomic.fna.gz 	GCF_022835115.1	576	3	GCF_022/GCF_022835115.1_ASM2283511v1_genomic.h5	4030
Campylobacter ureolyticus//Campylobacter jejuni	CE91-St25	ENA, NCBI	ENADB, NCBIPathogenDBB	827.0	Campylobacter ureolyticus//Campylobacter jejuni	GCA_022835215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/835/215/GCA_022835215.1_ASM2283521v1	Pathogenic	GCF_022835215.1	PRJNA224116	SAMD00389886	BQNW00000000.1	na	827	827	Campylobacter ureolyticus	strain=CE91-St25		latest	Contig	Major	Full	2022/02/03	ASM2283521v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022835215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/835/215/GCF_022835215.1_ASM2283521v1			na	Campylobacter ureolyticus	NZ_BQNW01000001.1	Campylobacter ureolyticus strain CE91-St25 sequence1, whole genome shotgun sequence	GCF_022835215.1_ASM2283521v1_genomic.fna.gz 	GCF_022835215.1	4539	1	GCF_022/GCF_022835215.1_ASM2283521v1_genomic.h5	1860
Enterococcus faecium	P102Iso1	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	1352.0	E. faecium	GCA_022845215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/215/GCA_022845215.1_ASM2284521v1	Pathogenic	GCF_022845215.1	PRJNA224116	SAMN17718646	JAFBHD000000000.1	na	1352	1352	Enterococcus faecium	strain=P102Iso1		latest	Contig	Major	Full	2022/04/08	ASM2284521v1	Heidelberg University Hospital	GCA_022845215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/215/GCF_022845215.1_ASM2284521v1			na	Enterococcus faecium	NZ_JAFBHD010000001.1	Enterococcus faecium strain P102Iso1 contig_1, whole genome shotgun sequence, sodium ion sensor (duf1646 type); this cis-regulatory element may regulate processes involved in with the transportation of sodium ions	GCF_022845215.1_ASM2284521v1_genomic.fna.gz 	GCF_022845215.1	25	1	GCF_022/GCF_022845215.1_ASM2284521v1_genomic.h5	2977
Porphyromonas somerae	CE91-St14	ENA	ENADB	322095.0	P. somerae	GCA_022845615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/615/GCA_022845615.1_ASM2284561v1	Pathogenic	GCF_022845615.1	PRJNA224116	SAMD00389853		representative genome	322095	322095	Porphyromonas somerae	strain=CE91-St14		latest	Complete Genome	Major	Full	2022/02/04	ASM2284561v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022845615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/615/GCF_022845615.1_ASM2284561v1			na	Porphyromonas somerae	NZ_AP025559.1	Porphyromonas somerae strain CE91-St14 chromosome, complete genome	GCF_022845615.1_ASM2284561v1_genomic.fna.gz 	GCF_022845615.1	2044	2	GCF_022/GCF_022845615.1_ASM2284561v1_genomic.h5	2344
Escherichia coli	Rb-50	ENA, NCBI	ENADB, NCBIPathogenDBB	562.0	E. coli	GCA_022846255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/255/GCA_022846255.1_ASM2284625v1	Pathogenic	GCF_022846255.1	PRJNA224116	SAMD00411243		na	562	562	Escherichia coli	strain=Rb-50		latest	Complete Genome	Major	Full	2022/03/25	ASM2284625v1	Department of Microbiology, Meiji Pharmaceutical University	GCA_022846255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/255/GCF_022846255.1_ASM2284625v1			na	Escherichia coli	NZ_AP025682.1	Escherichia coli strain Rb-50 chromosome, complete genome	GCF_022846255.1_ASM2284625v1_genomic.fna.gz 	GCF_022846255.1	9	5	GCF_022/GCF_022846255.1_ASM2284625v1_genomic.h5	4527
Klebsiella variicola//Klebsiella pneumoniae	KP107671	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022855825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/855/825/GCA_022855825.1_ASM2285582v1	Pathogenic	GCF_022855825.1	PRJNA224116	SAMN22998544	JAJIER000000000.1	na	244366	244366	Klebsiella variicola	strain=KP107671		latest	Scaffold	Major	Full	2022/04/08	ASM2285582v1	Shenzhen People's Hospital	GCA_022855825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/855/825/GCF_022855825.1_ASM2285582v1			na	Klebsiella variicola	NZ_JAJIER010000010.1	Klebsiella variicola strain KP107671 NODE_10_length_162507_cov_73.319787, whole genome shotgun sequence	GCF_022855825.1_ASM2285582v1_genomic.fna.gz 	GCF_022855825.1	11	2	GCF_022/GCF_022855825.1_ASM2285582v1_genomic.h5	5152
Klebsiella quasipneumoniae//Klebsiella pneumoniae	KP107606	ENA, NCBI	ENADB, NCBIPathogenDBB	1463165.0	Klebsiella quasipneumoniae//Klebsiella pneumoniae	GCA_022855865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/855/865/GCA_022855865.1_ASM2285586v1	Pathogenic	GCF_022855865.1	PRJNA224116	SAMN22998543	JAJIEQ000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=KP107606		latest	Scaffold	Major	Full	2022/04/08	ASM2285586v1	Shenzhen People's Hospital	GCA_022855865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/855/865/GCF_022855865.1_ASM2285586v1			na	Klebsiella quasipneumoniae	NZ_JAJIEQ010000010.1	Klebsiella quasipneumoniae strain KP107606 NODE_10_length_293001_cov_118.843069, whole genome shotgun sequence	GCF_022855865.1_ASM2285586v1_genomic.fna.gz 	GCF_022855865.1	11	2	GCF_022/GCF_022855865.1_ASM2285586v1_genomic.h5	4953
Klebsiella quasipneumoniae//Klebsiella pneumoniae	KP107173	ENA, NCBI	ENADB, NCBIPathogenDBB	1463165.0	Klebsiella quasipneumoniae//Klebsiella pneumoniae	GCA_022855925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/855/925/GCA_022855925.1_ASM2285592v1	Pathogenic	GCF_022855925.1	PRJNA224116	SAMN22998538	JAJIEL000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=KP107173		latest	Scaffold	Major	Full	2022/04/08	ASM2285592v1	Shenzhen People's Hospital	GCA_022855925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/855/925/GCF_022855925.1_ASM2285592v1			na	Klebsiella quasipneumoniae	NZ_JAJIEL010000010.1	Klebsiella quasipneumoniae strain KP107173 NODE_10_length_259660_cov_76.428166, whole genome shotgun sequence	GCF_022855925.1_ASM2285592v1_genomic.fna.gz 	GCF_022855925.1	11	2	GCF_022/GCF_022855925.1_ASM2285592v1_genomic.h5	5498
Klebsiella quasipneumoniae//Klebsiella pneumoniae	KP100282	ENA, NCBI	ENADB, NCBIPathogenDBB	1463165.0	Klebsiella quasipneumoniae//Klebsiella pneumoniae	GCA_022856945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/856/945/GCA_022856945.1_ASM2285694v1	Pathogenic	GCF_022856945.1	PRJNA224116	SAMN22998488	JAJICN000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=KP100282		latest	Scaffold	Major	Full	2022/04/08	ASM2285694v1	Shenzhen People's Hospital	GCA_022856945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/856/945/GCF_022856945.1_ASM2285694v1			na	Klebsiella quasipneumoniae	NZ_JAJICN010000010.1	Klebsiella quasipneumoniae strain KP100282 NODE_10_length_184801_cov_87.933577, whole genome shotgun sequence	GCF_022856945.1_ASM2285694v1_genomic.fna.gz 	GCF_022856945.1	11	2	GCF_022/GCF_022856945.1_ASM2285694v1_genomic.h5	5177
Klebsiella variicola//Klebsiella pneumoniae	KP100195	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022857045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/857/045/GCA_022857045.1_ASM2285704v1	Pathogenic	GCF_022857045.1	PRJNA224116	SAMN22998483	JAJICI000000000.1	na	244366	244366	Klebsiella variicola	strain=KP100195		latest	Scaffold	Major	Full	2022/04/08	ASM2285704v1	Shenzhen People's Hospital	GCA_022857045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/857/045/GCF_022857045.1_ASM2285704v1			na	Klebsiella variicola	NZ_JAJICI010000010.1	Klebsiella variicola strain KP100195 NODE_10_length_222309_cov_92.975940, whole genome shotgun sequence	GCF_022857045.1_ASM2285704v1_genomic.fna.gz 	GCF_022857045.1	11	2	GCF_022/GCF_022857045.1_ASM2285704v1_genomic.h5	5347
Klebsiella variicola//Klebsiella pneumoniae	KPK112	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022857335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/857/335/GCA_022857335.1_ASM2285733v1	Pathogenic	GCF_022857335.1	PRJNA224116	SAMN23224928	JAJMNO000000000.1	na	244366	244366	Klebsiella variicola	strain=KPK112		latest	Scaffold	Major	Full	2022/04/08	ASM2285733v1	Shenzhen People's Hospital	GCA_022857335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/857/335/GCF_022857335.1_ASM2285733v1			na	Klebsiella variicola	NZ_JAJMNO010000001.1	Klebsiella variicola strain KPK112 contig1, whole genome shotgun sequence	GCF_022857335.1_ASM2285733v1_genomic.fna.gz 	GCF_022857335.1	11	2	GCF_022/GCF_022857335.1_ASM2285733v1_genomic.h5	5774
Klebsiella quasipneumoniae//Klebsiella pneumoniae	KP94097	ENA, NCBI	ENADB, NCBIPathogenDBB	1463165.0	Klebsiella quasipneumoniae//Klebsiella pneumoniae	GCA_022858255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/858/255/GCA_022858255.1_ASM2285825v1	Pathogenic	GCF_022858255.1	PRJNA224116	SAMN23224881	JAJMNP000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=KP94097		latest	Scaffold	Major	Full	2022/04/08	ASM2285825v1	Shenzhen People's Hospital	GCA_022858255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/858/255/GCF_022858255.1_ASM2285825v1			na	Klebsiella quasipneumoniae	NZ_JAJMNP010000001.1	Klebsiella quasipneumoniae strain KP94097 contig1, whole genome shotgun sequence	GCF_022858255.1_ASM2285825v1_genomic.fna.gz 	GCF_022858255.1	11	2	GCF_022/GCF_022858255.1_ASM2285825v1_genomic.h5	5591
Klebsiella michiganensis//Klebsiella oxytoca	KP89378	ENA, NCBI	ENADB, NCBIPathogenDBB	1134687.0	Klebsiella michiganensis//Klebsiella oxytoca	GCA_022859475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/859/475/GCA_022859475.1_ASM2285947v1	Pathogenic	GCF_022859475.1	PRJNA224116	SAMN23224822	JAJMNQ000000000.1	na	1134687	1134687	Klebsiella michiganensis	strain=KP89378		latest	Scaffold	Major	Full	2022/04/08	ASM2285947v1	Shenzhen People's Hospital	GCA_022859475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/859/475/GCF_022859475.1_ASM2285947v1			na	Klebsiella michiganensis	NZ_JAJMNQ010000001.1	Klebsiella michiganensis strain KP89378 contig1, whole genome shotgun sequence	GCF_022859475.1_ASM2285947v1_genomic.fna.gz 	GCF_022859475.1	55	2	GCF_022/GCF_022859475.1_ASM2285947v1_genomic.h5	5513
Klebsiella variicola//Klebsiella pneumoniae	KP84143	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022860155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/860/155/GCA_022860155.1_ASM2286015v1	Pathogenic	GCF_022860155.1	PRJNA224116	SAMN23224787	JAJMNR000000000.1	na	244366	244366	Klebsiella variicola	strain=KP84143		latest	Contig	Major	Full	2022/04/08	ASM2286015v1	Shenzhen People's Hospital	GCA_022860155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/860/155/GCF_022860155.1_ASM2286015v1			na	Klebsiella variicola	NZ_JAJMNR010000001.1	Klebsiella variicola strain KP84143 contig1, whole genome shotgun sequence	GCF_022860155.1_ASM2286015v1_genomic.fna.gz 	GCF_022860155.1	11	2	GCF_022/GCF_022860155.1_ASM2286015v1_genomic.h5	5623
Klebsiella variicola//Klebsiella pneumoniae	KP83799	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022860305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/860/305/GCA_022860305.1_ASM2286030v1	Pathogenic	GCF_022860305.1	PRJNA224116	SAMN23224780	JAJMNS000000000.1	na	244366	244366	Klebsiella variicola	strain=KP83799		latest	Contig	Major	Full	2022/04/08	ASM2286030v1	Shenzhen People's Hospital	GCA_022860305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/860/305/GCF_022860305.1_ASM2286030v1			na	Klebsiella variicola	NZ_JAJMNS010000001.1	Klebsiella variicola strain KP83799 contig1, whole genome shotgun sequence	GCF_022860305.1_ASM2286030v1_genomic.fna.gz 	GCF_022860305.1	11	2	GCF_022/GCF_022860305.1_ASM2286030v1_genomic.h5	5724
Klebsiella variicola//Klebsiella pneumoniae	KP68288	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022862685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/862/685/GCA_022862685.1_ASM2286268v1	Pathogenic	GCF_022862685.1	PRJNA224116	SAMN23224659	JAJMNV000000000.1	na	244366	244366	Klebsiella variicola	strain=KP68288		latest	Contig	Major	Full	2022/04/08	ASM2286268v1	Shenzhen People's Hospital	GCA_022862685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/862/685/GCF_022862685.1_ASM2286268v1			na	Klebsiella variicola	NZ_JAJMNV010000001.1	Klebsiella variicola strain KP68288 contig1, whole genome shotgun sequence	GCF_022862685.1_ASM2286268v1_genomic.fna.gz 	GCF_022862685.1	11	2	GCF_022/GCF_022862685.1_ASM2286268v1_genomic.h5	5394
Klebsiella variicola//Klebsiella pneumoniae	KP63272	ENA, NCBI	ENADB, NCBIPathogenDBB	244366.0	Klebsiella variicola//Klebsiella pneumoniae	GCA_022863695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/863/695/GCA_022863695.1_ASM2286369v1	Pathogenic	GCF_022863695.1	PRJNA224116	SAMN23224610	JAJMNW000000000.1	na	244366	244366	Klebsiella variicola	strain=KP63272		latest	Contig	Major	Full	2022/04/08	ASM2286369v1	Shenzhen People's Hospital	GCA_022863695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/863/695/GCF_022863695.1_ASM2286369v1			na	Klebsiella variicola	NZ_JAJMNW010000001.1	Klebsiella variicola strain KP63272 contig1, whole genome shotgun sequence	GCF_022863695.1_ASM2286369v1_genomic.fna.gz 	GCF_022863695.1	11	2	GCF_022/GCF_022863695.1_ASM2286369v1_genomic.h5	5777
Klebsiella quasipneumoniae//Klebsiella pneumoniae	KP60108	ENA, NCBI	ENADB, NCBIPathogenDBB	1463165.0	Klebsiella quasipneumoniae//Klebsiella pneumoniae	GCA_022864785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/864/785/GCA_022864785.1_ASM2286478v1	Pathogenic	GCF_022864785.1	PRJNA224116	SAMN23224556	JAJMNY000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=KP60108		latest	Scaffold	Major	Full	2022/04/09	ASM2286478v1	Shenzhen People's Hospital	GCA_022864785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/864/785/GCF_022864785.1_ASM2286478v1			na	Klebsiella quasipneumoniae	NZ_JAJMNY010000001.1	Klebsiella quasipneumoniae strain KP60108 contig1, whole genome shotgun sequence	GCF_022864785.1_ASM2286478v1_genomic.fna.gz 	GCF_022864785.1	11	2	GCF_022/GCF_022864785.1_ASM2286478v1_genomic.h5	4951
Klebsiella quasipneumoniae//Klebsiella pneumoniae	KP59436	ENA, NCBI	ENADB, NCBIPathogenDBB	1463165.0	Klebsiella quasipneumoniae//Klebsiella pneumoniae	GCA_022864855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/864/855/GCA_022864855.1_ASM2286485v1	Pathogenic	GCF_022864855.1	PRJNA224116	SAMN23224552	JAJMNZ000000000.1	na	1463165	1463165	Klebsiella quasipneumoniae	strain=KP59436		latest	Scaffold	Major	Full	2022/04/09	ASM2286485v1	Shenzhen People's Hospital	GCA_022864855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/864/855/GCF_022864855.1_ASM2286485v1			na	Klebsiella quasipneumoniae	NZ_JAJMNZ010000001.1	Klebsiella quasipneumoniae strain KP59436 contig1, whole genome shotgun sequence	GCF_022864855.1_ASM2286485v1_genomic.fna.gz 	GCF_022864855.1	11	2	GCF_022/GCF_022864855.1_ASM2286485v1_genomic.h5	5589
Escherichia coli	EC6868	NCBI, Patric (diseases)	NCBIPathogenDBB, 	562.0	E. coli	GCA_022918835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/918/835/GCA_022918835.1_ASM2291883v1	Pathogenic	GCF_022918835.1	PRJNA224116	SAMN27258442		na	562	562	Escherichia coli	strain=EC6868		latest	Complete Genome	Major	Full	2022/04/12	ASM2291883v1	Jinan University	GCA_022918835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/918/835/GCF_022918835.1_ASM2291883v1			na	Escherichia coli	NZ_CP095083.1	Escherichia coli strain EC6868 chromosome, complete genome	GCF_022918835.1_ASM2291883v1_genomic.fna.gz 	GCF_022918835.1	9	5	GCF_022/GCF_022918835.1_ASM2291883v1_genomic.h5	5162
Escherichia coli	//w264	NCBI, Patric (diseases)	NCBIPathogenDBB, 	562.0	E. coli	GCA_022919055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/919/055/GCA_022919055.1_ASM2291905v1	Pathogenic	GCF_022919055.1	PRJNA224116	SAMN27258894		na	562	562	Escherichia coli		w264	latest	Complete Genome	Major	Full	2022/04/12	ASM2291905v1	Jinan University	GCA_022919055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/055/GCF_022919055.1_ASM2291905v1			na	Escherichia coli	NZ_CP095088.1	Escherichia coli isolate w264 chromosome, complete genome	GCF_022919055.1_ASM2291905v1_genomic.fna.gz 	GCF_022919055.1	9	5	GCF_022/GCF_022919055.1_ASM2291905v1_genomic.h5	4511
Helicobacter pylori	Hpfe127	ENA	ENADB	210.0	H. pylori	GCA_022921175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/175/GCA_022921175.1_ASM2292117v1	Pathogenic	GCF_022921175.1	PRJNA224116	SAMN26675611		na	210	210	Helicobacter pylori	strain=Hpfe127		latest	Complete Genome	Major	Full	2022/04/12	ASM2292117v1	The Second Affiliated Hospital, University of South China	GCA_022921175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/175/GCF_022921175.1_ASM2292117v1			na	Helicobacter pylori	NZ_CP094051.1	Helicobacter pylori strain Hpfe127 chromosome, complete genome	GCF_022921175.1_ASM2292117v1_genomic.fna.gz 	GCF_022921175.1	23	3	GCF_022/GCF_022921175.1_ASM2292117v1_genomic.h5	1508
Helicobacter pylori	Hpfe126	ENA	ENADB	210.0	H. pylori	GCA_022921195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/195/GCA_022921195.1_ASM2292119v1	Pathogenic	GCF_022921195.1	PRJNA224116	SAMN26675610		na	210	210	Helicobacter pylori	strain=Hpfe126		latest	Complete Genome	Major	Full	2022/04/12	ASM2292119v1	The Second Affiliated Hospital, University of South China	GCA_022921195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/195/GCF_022921195.1_ASM2292119v1			na	Helicobacter pylori	NZ_CP094052.1	Helicobacter pylori strain Hpfe126 chromosome, complete genome	GCF_022921195.1_ASM2292119v1_genomic.fna.gz 	GCF_022921195.1	23	3	GCF_022/GCF_022921195.1_ASM2292119v1_genomic.h5	1567
Helicobacter pylori	Hpfe125	ENA, Patric (diseases)	ENADB, 	210.0	H. pylori	GCA_022921215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/215/GCA_022921215.1_ASM2292121v1	Pathogenic	GCF_022921215.1	PRJNA224116	SAMN26675609		na	210	210	Helicobacter pylori	strain=Hpfe125		latest	Complete Genome	Major	Full	2022/04/12	ASM2292121v1	The Second Affiliated Hospital, University of South China	GCA_022921215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/215/GCF_022921215.1_ASM2292121v1			na	Helicobacter pylori	NZ_CP094054.1	Helicobacter pylori strain Hpfe125 chromosome, complete genome	GCF_022921215.1_ASM2292121v1_genomic.fna.gz 	GCF_022921215.1	23	3	GCF_022/GCF_022921215.1_ASM2292121v1_genomic.h5	1489
Helicobacter pylori	Hpfe124	ENA	ENADB	210.0	H. pylori	GCA_022921235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/235/GCA_022921235.1_ASM2292123v1	Pathogenic	GCF_022921235.1	PRJNA224116	SAMN26675608		na	210	210	Helicobacter pylori	strain=Hpfe124		latest	Complete Genome	Major	Full	2022/04/12	ASM2292123v1	The Second Affiliated Hospital, University of South China	GCA_022921235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/235/GCF_022921235.1_ASM2292123v1			na	Helicobacter pylori	NZ_CP094056.1	Helicobacter pylori strain Hpfe124 chromosome, complete genome	GCF_022921235.1_ASM2292123v1_genomic.fna.gz 	GCF_022921235.1	23	3	GCF_022/GCF_022921235.1_ASM2292123v1_genomic.h5	1479
Helicobacter pylori	Hpfe123	ENA	ENADB	210.0	H. pylori	GCA_022921255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/255/GCA_022921255.1_ASM2292125v1	Pathogenic	GCF_022921255.1	PRJNA224116	SAMN26675607		na	210	210	Helicobacter pylori	strain=Hpfe123		latest	Complete Genome	Major	Full	2022/04/12	ASM2292125v1	The Second Affiliated Hospital, University of South China	GCA_022921255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/255/GCF_022921255.1_ASM2292125v1			na	Helicobacter pylori	NZ_CP094058.1	Helicobacter pylori strain Hpfe123 chromosome, complete genome	GCF_022921255.1_ASM2292125v1_genomic.fna.gz 	GCF_022921255.1	23	3	GCF_022/GCF_022921255.1_ASM2292125v1_genomic.h5	1540
Helicobacter pylori	Hpfe122	ENA	ENADB	210.0	H. pylori	GCA_022921275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/275/GCA_022921275.1_ASM2292127v1	Pathogenic	GCF_022921275.1	PRJNA224116	SAMN26675606		na	210	210	Helicobacter pylori	strain=Hpfe122		latest	Complete Genome	Major	Full	2022/04/12	ASM2292127v1	The Second Affiliated Hospital, University of South China	GCA_022921275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/275/GCF_022921275.1_ASM2292127v1			na	Helicobacter pylori	NZ_CP094059.1	Helicobacter pylori strain Hpfe122 chromosome, complete genome	GCF_022921275.1_ASM2292127v1_genomic.fna.gz 	GCF_022921275.1	23	3	GCF_022/GCF_022921275.1_ASM2292127v1_genomic.h5	1483
